Name,Starts,Wins,Podiums,Top 10s,Top 20s,Avg Place,DNFs,Win%,Podium%,Top 10%,Top 20%,Total $,Avg $,$ as Winner,Strokes
Callie McMorran,5,0,0,1,3,27.00,0,0.00,0.00,20.00,60.00,"2,005",401,0,"1,336"
Nicole Dionisio,5,0,0,1,3,20.40,0,0.00,0.00,20.00,60.00,220,44,0,"1,401"
Ulrika Wikberg,4,0,0,4,4,6.00,0,0.00,0.00,100.00,100.00,711,178,0,"2,115"
Sofie Björlycke,4,0,0,2,4,11.50,0,0.00,0.00,50.00,100.00,675,169,0,"1,420"
Jenni Engström,4,0,0,2,4,10.75,0,0.00,0.00,50.00,100.00,"1,100",275,0,"1,080"
Rachel Gawler,4,0,0,1,4,12.00,0,0.00,0.00,25.00,100.00,200,50,0,"1,895"
2827,4,0,0,3,4,10.00,0,0.00,0.00,75.00,100.00,100,25,0,"1,172"
Sarah DeMar,4,0,0,3,4,10.00,0,0.00,0.00,75.00,100.00,275,69,0,"1,473"
30303,4,0,0,3,3,7.67,1,0.00,0.00,100.00,100.00,0,0,0,719
8111,4,0,0,2,4,10.00,0,0.00,0.00,50.00,100.00,0,0,0,"1,270"
Alexis Mandujano,4,0,0,2,3,13.50,0,0.00,0.00,50.00,75.00,"5,000","1,250",0,"1,145"
Natalie Ryan,4,0,0,2,3,18.25,0,0.00,0.00,50.00,75.00,"3,656",914,0,"1,040"
5668,4,0,0,1,3,13.33,1,0.00,0.00,33.33,100.00,0,0,0,"1,582"
Colleen Dee,4,0,0,1,4,14.75,0,0.00,0.00,25.00,100.00,0,0,0,"1,832"
6292,4,0,0,1,4,11.00,0,0.00,0.00,25.00,100.00,112,28,0,"1,969"
Staci Pauly,4,0,0,1,3,14.25,0,0.00,0.00,25.00,75.00,445,111,0,"1,629"
Michelle Wilson,4,0,0,1,3,18.75,0,0.00,0.00,25.00,75.00,170,43,0,"1,502"
Emily Hardy,4,0,0,1,3,15.00,0,0.00,0.00,25.00,75.00,200,50,0,"1,508"
Erica Johnson,4,0,0,1,3,15.00,0,0.00,0.00,25.00,75.00,545,136,0,"1,101"
63327,4,0,0,1,3,15.75,0,0.00,0.00,25.00,75.00,310,78,0,"1,093"
Keiti Tätte,4,0,0,1,2,24.00,0,0.00,0.00,25.00,50.00,"2,050",513,0,"1,088"
Macie Velediaz,4,0,0,1,2,17.75,0,0.00,0.00,25.00,50.00,"2,395",599,0,"1,129"
Niloofar Mosavar 3,3,0,1,2,3,6.67,0,0.00,33.33,66.67,100.00,742,247,0,991
Heather Young,3,0,1,2,3,7.33,0,0.00,33.33,66.67,100.00,"2,490",830,0,769
Holyn Handley,3,0,1,1,1,19.67,0,0.00,33.33,33.33,33.33,"6,020","2,007",0,821
Beth Verish,3,0,0,3,3,6.33,0,0.00,0.00,100.00,100.00,200,67,0,"1,091"
3069,3,0,0,3,3,6.67,0,0.00,0.00,100.00,100.00,0,0,0,"1,296"
Trixie Tobin,3,0,0,3,3,7.33,0,0.00,0.00,100.00,100.00,218,73,0,"1,410"
Mandy Carreiro,3,0,0,2,3,9.00,0,0.00,0.00,66.67,100.00,120,40,0,857
Lydie Hellgren,3,0,0,2,3,8.67,0,0.00,0.00,66.67,100.00,"1,127",376,0,"1,142"
Linda Emanuelsson,3,0,0,1,2,13.33,0,0.00,0.00,33.33,66.67,268,89,0,"1,003"
2711,3,0,0,2,3,8.33,0,0.00,0.00,66.67,100.00,69,23,0,924
Nina Neville,3,0,0,2,3,10.33,0,0.00,0.00,66.67,100.00,0,0,0,"1,626"
12648,3,0,0,2,3,10.00,0,0.00,0.00,66.67,100.00,611,204,0,"1,501"
16492,3,0,0,2,3,10.00,0,0.00,0.00,66.67,100.00,300,100,0,867
Kathryn Collins,3,0,0,2,2,7.50,1,0.00,0.00,100.00,100.00,963,482,0,961
Heidi Laine,3,0,0,2,3,9.33,0,0.00,0.00,66.67,100.00,"1,948",649,0,909
5801,3,0,0,1,3,12.33,0,0.00,0.00,33.33,100.00,0,0,0,"1,648"
7854,3,0,0,1,3,13.33,0,0.00,0.00,33.33,100.00,0,0,0,"1,647"
Mandi Hofmann,3,0,0,1,3,12.33,0,0.00,0.00,33.33,100.00,250,83,0,"1,613"
Brittany Blair,3,0,0,1,3,11.67,0,0.00,0.00,33.33,100.00,600,200,0,907
34655,3,0,0,1,2,23.00,0,0.00,0.00,33.33,66.67,0,0,0,963
Aria Castruita,3,0,0,1,1,19.33,0,0.00,0.00,33.33,33.33,"2,153",718,0,848
Linda Isberg,2,0,1,2,2,4.00,0,0.00,50.00,100.00,100.00,500,250,0,"1,086"
Michele Marini,2,0,1,2,2,4.00,0,0.00,50.00,100.00,100.00,0,0,0,597
Terri Reinl-Carver,2,0,1,2,2,5.00,0,0.00,50.00,100.00,100.00,176,88,0,749
Susanne Giendl,2,0,1,1,2,8.50,0,0.00,50.00,50.00,100.00,500,250,0,652
Linnea Hagenbjork,2,0,0,2,2,6.00,0,0.00,0.00,100.00,100.00,159,80,0,496
Anna Elo,2,0,0,2,2,6.50,0,0.00,0.00,100.00,100.00,0,0,0,660
Kayoko Jitsuhiro,2,0,0,1,1,13.50,0,0.00,0.00,50.00,50.00,0,0,0,850
Tiia-Maria Tiistola,2,0,0,1,2,7.50,0,0.00,0.00,50.00,100.00,0,0,0,593
2286,2,0,0,2,2,9.00,0,0.00,0.00,100.00,100.00,0,0,0,492
2372,2,0,0,2,2,8.50,0,0.00,0.00,100.00,100.00,50,25,0,553
8050,2,0,0,2,2,8.50,0,0.00,0.00,100.00,100.00,133,67,0,584
11194,2,0,0,2,2,6.00,0,0.00,0.00,100.00,100.00,679,340,0,"1,036"
26585,2,0,0,2,2,9.00,0,0.00,0.00,100.00,100.00,0,0,0,501
Melynda Apton,2,0,0,2,2,7.50,0,0.00,0.00,100.00,100.00,450,225,0,668
53383,2,0,0,2,2,9.00,0,0.00,0.00,100.00,100.00,0,0,0,584
55288,2,0,0,2,2,7.50,0,0.00,0.00,100.00,100.00,130,65,0,566
64980,2,0,0,2,2,8.00,0,0.00,0.00,100.00,100.00,0,0,0,527
2324,2,0,0,1,2,10.50,0,0.00,0.00,50.00,100.00,0,0,0,441
2370,2,0,0,1,2,12.50,0,0.00,0.00,50.00,100.00,0,0,0,569
2436,2,0,0,1,2,11.50,0,0.00,0.00,50.00,100.00,0,0,0,562
2785,2,0,0,1,1,15.50,0,0.00,0.00,50.00,50.00,0,0,0,590
2913,2,0,0,1,2,11.00,0,0.00,0.00,50.00,100.00,0,0,0,620
2973,2,0,0,1,2,10.50,0,0.00,0.00,50.00,100.00,100,50,0,603
7853,2,0,0,1,2,10.00,0,0.00,0.00,50.00,100.00,160,80,0,"1,095"
8124,2,0,0,1,2,12.00,0,0.00,0.00,50.00,100.00,0,0,0,991
10253,2,0,0,1,1,7.00,1,0.00,0.00,100.00,100.00,165,165,0,545
13309,2,0,0,1,2,12.00,0,0.00,0.00,50.00,100.00,0,0,0,555
Susan Sport 2,2,0,0,1,2,11.50,0,0.00,0.00,50.00,100.00,135,68,0,548
22235,2,0,0,1,1,20.50,0,0.00,0.00,50.00,50.00,288,144,0,641
Florence Dumont,2,0,0,1,1,16.50,0,0.00,0.00,50.00,50.00,0,0,0,"1,011"
33145,2,0,0,1,1,15.50,0,0.00,0.00,50.00,50.00,0,0,0,638
Jayne Snider,2,0,0,1,1,40.50,0,0.00,0.00,50.00,50.00,255,128,0,569
Samantha Yanssens,2,0,0,1,1,21.00,0,0.00,0.00,50.00,50.00,0,0,0,582
Anneli Tõugjas-Männiste,2,0,0,1,1,6.00,1,0.00,0.00,100.00,100.00,268,268,0,292
Anniken Steen,2,0,0,1,1,18.00,0,0.00,0.00,50.00,50.00,650,325,0,580
Judy Horowitz,1,0,1,1,1,2.00,0,0.00,100.00,100.00,100.00,0,0,0,284
Karin Magnholt,1,0,1,1,1,2.00,0,0.00,100.00,100.00,100.00,406,406,0,297
Bernice Klongerbo,1,0,0,1,1,5.00,0,0.00,0.00,100.00,100.00,0,0,0,291
Deanna Kirk,1,0,0,1,1,4.00,0,0.00,0.00,100.00,100.00,150,150,0,400
Bun Itoh,1,0,0,1,1,4.00,0,0.00,0.00,100.00,100.00,210,210,0,304
Donna Gill,1,0,0,1,1,5.00,0,0.00,0.00,100.00,100.00,0,0,0,362
Kristina Wilson,1,0,0,1,1,5.00,0,0.00,0.00,100.00,100.00,0,0,0,317
1498,1,0,0,1,1,7.00,0,0.00,0.00,100.00,100.00,0,0,0,242
3428,1,0,0,1,1,6.00,0,0.00,0.00,100.00,100.00,0,0,0,265
3859,1,0,0,1,1,6.00,0,0.00,0.00,100.00,100.00,125,125,0,304
5501,1,0,0,1,1,10.00,0,0.00,0.00,100.00,100.00,0,0,0,579
5713,1,0,0,1,1,7.00,0,0.00,0.00,100.00,100.00,0,0,0,359
7739,1,0,0,1,1,6.00,0,0.00,0.00,100.00,100.00,160,160,0,561
8031,1,0,0,1,1,9.00,0,0.00,0.00,100.00,100.00,0,0,0,324
8073,1,0,0,1,1,8.00,0,0.00,0.00,100.00,100.00,0,0,0,324
8189,1,0,0,1,1,6.00,0,0.00,0.00,100.00,100.00,709,709,0,344
8806,1,0,0,1,1,9.00,0,0.00,0.00,100.00,100.00,292,292,0,441
9081,1,0,0,1,1,10.00,0,0.00,0.00,100.00,100.00,140,140,0,474
9523,1,0,0,1,1,6.00,0,0.00,0.00,100.00,100.00,0,0,0,380
10213,1,0,0,1,1,8.00,0,0.00,0.00,100.00,100.00,0,0,0,434
10541,1,0,0,1,1,7.00,0,0.00,0.00,100.00,100.00,390,390,0,437
12081,1,0,0,1,1,6.00,0,0.00,0.00,100.00,100.00,10,10,0,370
13529,1,0,0,1,1,9.00,0,0.00,0.00,100.00,100.00,225,225,0,488
16157,1,0,0,1,1,7.00,0,0.00,0.00,100.00,100.00,0,0,0,385
26434,1,0,0,1,1,8.00,0,0.00,0.00,100.00,100.00,0,0,0,285
30508,1,0,0,1,1,6.00,0,0.00,0.00,100.00,100.00,0,0,0,305
